            generate: 1000 : 1		       0.000000	       0.000000	       0.000000	
          copy: 1000 : 1 : sys		       0.000000	       0.000000	       0.000000	
          copy: 1000 : 1 : lib		       0.000000	       0.000000	       0.000000	
          sort: 1000 : 1 : sys		       0.540000	       0.300000	       0.240000	
          sort: 1000 : 1 : lib		       0.300000	       0.200000	       0.090000	
            generate: 1000 : 4		       0.000000	       0.000000	       0.000000	
          copy: 1000 : 4 : sys		       0.000000	       0.000000	       0.000000	
          copy: 1000 : 4 : lib		       0.000000	       0.000000	       0.000000	
          sort: 1000 : 4 : sys		       0.540000	       0.260000	       0.270000	
          sort: 1000 : 4 : lib		       0.300000	       0.170000	       0.120000	
          generate: 1000 : 512		       0.010000	       0.000000	       0.000000	
        copy: 1000 : 512 : sys		       0.000000	       0.000000	       0.000000	
        copy: 1000 : 512 : lib		       0.000000	       0.000000	       0.000000	
        sort: 1000 : 512 : sys		       0.570000	       0.330000	       0.230000	
        sort: 1000 : 512 : lib		       0.350000	       0.210000	       0.140000	
         generate: 1000 : 1024		       0.020000	       0.000000	       0.000000	
       copy: 1000 : 1024 : sys		       0.000000	       0.000000	       0.000000	
       copy: 1000 : 1024 : lib		       0.000000	       0.000000	       0.000000	
       sort: 1000 : 1024 : sys		       0.580000	       0.320000	       0.240000	
       sort: 1000 : 1024 : lib		       0.410000	       0.260000	       0.150000	
         generate: 1000 : 4096		       0.040000	       0.010000	       0.020000	
       copy: 1000 : 4096 : sys		       0.010000	       0.000000	       0.000000	
       copy: 1000 : 4096 : lib		       0.020000	       0.000000	       0.000000	
       sort: 1000 : 4096 : sys		       0.680000	       0.350000	       0.320000	
       sort: 1000 : 4096 : lib		       0.780000	       0.370000	       0.400000	
         generate: 1000 : 8192		       0.090000	       0.030000	       0.040000	
       copy: 1000 : 8192 : sys		       0.030000	       0.000000	       0.010000	
       copy: 1000 : 8192 : lib		       0.020000	       0.000000	       0.010000	
       sort: 1000 : 8192 : sys		       0.970000	       0.300000	       0.660000	
       sort: 1000 : 8192 : lib		       1.350000	       0.600000	       0.750000	
            generate: 5000 : 1		       0.010000	       0.000000	       0.000000	
          copy: 5000 : 1 : sys		       0.010000	       0.000000	       0.000000	
          copy: 5000 : 1 : lib		       0.000000	       0.000000	       0.000000	
          sort: 5000 : 1 : sys		      12.860000	       7.240000	       5.610000	
          sort: 5000 : 1 : lib		       6.250000	       4.360000	       1.880000	
            generate: 5000 : 4		       0.010000	       0.000000	       0.000000	
          copy: 5000 : 4 : sys		       0.000000	       0.000000	       0.000000	
          copy: 5000 : 4 : lib		       0.000000	       0.000000	       0.000000	
          sort: 5000 : 4 : sys		      12.770000	       7.320000	       5.440000	
          sort: 5000 : 4 : lib		       6.190000	       4.250000	       1.920000	
          generate: 5000 : 512		       0.030000	       0.010000	       0.010000	
        copy: 5000 : 512 : sys		       0.010000	       0.000000	       0.000000	
        copy: 5000 : 512 : lib		       0.010000	       0.000000	       0.000000	
        sort: 5000 : 512 : sys		      13.290000	       7.250000	       6.030000	
        sort: 5000 : 512 : lib		       7.580000	       4.800000	       2.770000	
         generate: 5000 : 1024		       0.050000	       0.010000	       0.030000	
       copy: 5000 : 1024 : sys		       0.010000	       0.000000	       0.000000	
       copy: 5000 : 1024 : lib		       0.010000	       0.000000	       0.000000	
       sort: 5000 : 1024 : sys		      13.850000	       7.190000	       6.650000	
       sort: 5000 : 1024 : lib		       9.230000	       5.660000	       3.560000	
         generate: 5000 : 4096		       0.230000	       0.070000	       0.120000	
       copy: 5000 : 4096 : sys		       0.070000	       0.000000	       0.030000	
       copy: 5000 : 4096 : lib		       0.070000	       0.010000	       0.020000	
       sort: 5000 : 4096 : sys		      19.890000	       7.380000	      12.500000	
       sort: 5000 : 4096 : lib		      20.870000	       9.130000	      11.730000	
         generate: 5000 : 8192		       0.460000	       0.170000	       0.210000	
       copy: 5000 : 8192 : sys		       0.130000	       0.000000	       0.050000	
       copy: 5000 : 8192 : lib		       0.130000	       0.000000	       0.050000	
       sort: 5000 : 8192 : sys		      26.140000	       7.060000	      19.080000	
       sort: 5000 : 8192 : lib		      36.290000	      13.270000	      23.010000	
            generate: 1000 : 1		       0.000000	       0.000000	       0.000000	
